행정구역,2010년_거주자 인구수,2011년_거주자 인구수,2012년_거주자 인구수,2013년_거주자 인구수,2014년_거주자 인구수,2015년_거주자 인구수,2016년_거주자 인구수,2017년_거주자 인구수,2018년_거주자 인구수,2019년_거주자 인구수,2020년_거주자 인구수,2021년_거주자 인구수,2022년_거주자 인구수,2023년_거주자 인구수,2024년_거주자 인구수,2025년_거주자 인구수
제주특별자치도 제주특별자치도 서귀포시 (5013000000),"152,393","152,151","152,899","154,502","157,417","163,332","169,603","176,998","179,785","180,105","180,754","182,749","183,885","182,596","180,950","178,627"
제주특별자치도 서귀포시 대정읍(5013025000),"16,568","16,426","16,444","16,473","16,987","18,349","19,524","20,874","21,196","21,154","21,575","22,073","22,143","21,939","21,850","21,478"
제주특별자치도 서귀포시 남원읍(5013025300),"18,109","18,026","17,976","17,975","18,146","18,564","19,053","19,055","18,931","18,800","18,660","18,588","18,425","18,256","18,055","17,774"
제주특별자치도 서귀포시 성산읍(5013025900),"13,990","13,832","13,725","13,753","13,782","14,286","14,734","15,164","15,333","15,438","15,308","15,433","15,362","15,091","14,934","14,552"
제주특별자치도 서귀포시 안덕면(5013031000),"9,591","9,569","9,600","9,675","9,730","10,080","10,369","11,316","11,813","11,961","11,924","12,174","12,349","12,430","12,306","12,231"
제주특별자치도 서귀포시 표선면(5013032000),"10,777","10,667","10,702","10,816","11,081","11,354","11,598","12,135","12,267","12,176","12,220","12,321","12,457","12,522","12,676","12,698"
제주특별자치도 서귀포시 송산동(5013051000),"4,955","4,885","4,866","4,819","4,733","4,747","4,554","4,380","4,324","4,188","4,083","3,939","3,868","3,828","3,764","3,701"
제주특별자치도 서귀포시 정방동(5013052000),"2,864","2,818","2,787","2,719","2,640","2,664","2,551","2,359","2,235","2,184","2,105","2,103","2,113","2,132","2,087","2,007"
제주특별자치도 서귀포시 중앙동(5013053000),"4,495","4,393","4,327","4,385","4,468","4,309","4,169","3,932","3,808","3,643","3,458","3,275","3,188","3,129","3,071","2,935"
제주특별자치도 서귀포시 천지동(5013054000),"3,818","3,794","3,862","3,922","3,910","3,820","3,713","3,487","3,484","3,459","3,445","3,383","3,421","3,404","3,347","3,289"
제주특별자치도 서귀포시 효돈동(5013055000),"4,961","5,032","4,969","4,943","4,900","5,072","5,155","5,284","5,237","5,252","5,220","5,308","5,294","5,327","5,325","5,201"
제주특별자치도 서귀포시 영천동(5013056000),"5,007","4,952","4,956","4,967","4,947","4,995","4,964","5,146","5,257","5,247","5,161","5,187","5,282","5,247","5,094","5,042"
제주특별자치도 서귀포시 동홍동(5013057000),"20,917","20,935","21,289","21,791","22,143","22,544","22,717","22,576","22,759","22,977","23,102","23,113","23,407","23,141","22,741","22,547"
제주특별자치도 서귀포시 서홍동(5013058000),"7,933","8,454","8,774","9,306","9,504","9,988","10,477","10,579","10,514","10,383","10,572","11,037","11,204","11,144","11,092","10,995"
제주특별자치도 서귀포시 대륜동(5013059000),"9,118","9,154","9,198","9,133","10,243","11,110","13,177","13,272","13,844","14,324","14,651","15,241","15,510","15,212","14,981","14,803"
제주특별자치도 서귀포시 대천동(5013060000),"6,898","6,884","7,008","7,235","7,364","8,059","8,922","12,931","13,607","13,718","13,851","13,773","13,746","13,596","13,647","13,661"
제주특별자치도 서귀포시 중문동(5013061000),"8,844","8,835","8,906","9,027","9,196","9,669","10,144","10,612","11,078","11,266","11,522","11,898","12,264","12,389","12,194","12,000"
제주특별자치도 서귀포시 예래동(5013062000),"3,548","3,495","3,510","3,563","3,643","3,722","3,782","3,896","4,098","3,935","3,897","3,903","3,852","3,809","3,786","3,713"
