행정구역,2016년_거주자 인구수,2017년_거주자 인구수,2018년_거주자 인구수,2019년_거주자 인구수,2020년_거주자 인구수,2021년_거주자 인구수,2022년_거주자 인구수,2023년_거주자 인구수,2024년_거주자 인구수,2025년_거주자 인구수,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 제주특별자치도 서귀포시 (5013000000),"169,603","176,998","179,785","180,105","180,754","182,749","183,885","182,596","180,950","178,627",,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 대정읍(5013025000),"19,524","20,874","21,196","21,154","21,575","22,073","22,143","21,939","21,850","21,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 남원읍(5013025300),"19,053","19,055","18,931","18,800","18,660","18,588","18,425","18,256","18,055","17,774",,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 성산읍(5013025900),"14,734","15,164","15,333","15,438","15,308","15,433","15,362","15,091","14,934","14,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 안덕면(5013031000),"10,369","11,316","11,813","11,961","11,924","12,174","12,349","12,430","12,306","12,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 표선면(5013032000),"11,598","12,135","12,267","12,176","12,220","12,321","12,457","12,522","12,676","12,698",,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 송산동(5013051000),"4,554","4,380","4,324","4,188","4,083","3,939","3,868","3,828","3,764","3,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 정방동(5013052000),"2,551","2,359","2,235","2,184","2,105","2,103","2,113","2,132","2,087","2,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 중앙동(5013053000),"4,169","3,932","3,808","3,643","3,458","3,275","3,188","3,129","3,071","2,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 천지동(5013054000),"3,713","3,487","3,484","3,459","3,445","3,383","3,421","3,404","3,347","3,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 효돈동(5013055000),"5,155","5,284","5,237","5,252","5,220","5,308","5,294","5,327","5,325","5,201",,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 영천동(5013056000),"4,964","5,146","5,257","5,247","5,161","5,187","5,282","5,247","5,094","5,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 동홍동(5013057000),"22,717","22,576","22,759","22,977","23,102","23,113","23,407","23,141","22,741","22,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 서홍동(5013058000),"10,477","10,579","10,514","10,383","10,572","11,037","11,204","11,144","11,092","10,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 대륜동(5013059000),"13,177","13,272","13,844","14,324","14,651","15,241","15,510","15,212","14,981","14,803",,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 대천동(5013060000),"8,922","12,931","13,607","13,718","13,851","13,773","13,746","13,596","13,647","13,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 중문동(5013061000),"10,144","10,612","11,078","11,266","11,522","11,898","12,264","12,389","12,194","12,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 예래동(5013062000),"3,782","3,896","4,098","3,935","3,897","3,903","3,852","3,809","3,786","3,713",,,,,,,,,,,,,,,,,,,,,,,,,,,,
