"행정구역","2016년_거주자 인구수","2016년_세대수","2016년_세대당 인구","2016년_남여 비율","2017년_거주자 인구수","2017년_세대수","2017년_세대당 인구","2017년_남여 비율","2018년_거주자 인구수","2018년_세대수","2018년_세대당 인구","2018년_남여 비율","2019년_거주자 인구수","2019년_세대수","2019년_세대당 인구","2019년_남여 비율","2020년_거주자 인구수","2020년_세대수","2020년_세대당 인구","2020년_남여 비율","2021년_거주자 인구수","2021년_세대수","2021년_세대당 인구","2021년_남여 비율","2022년_거주자 인구수","2022년_세대수","2022년_세대당 인구","2022년_남여 비율","2023년_거주자 인구수","2023년_세대수","2023년_세대당 인구","2023년_남여 비율","2024년_거주자 인구수","2024년_세대수","2024년_세대당 인구","2024년_남여 비율","2025년_거주자 인구수","2025년_세대수","2025년_세대당 인구","2025년_남여 비율"
"제주특별자치도 제주특별자치도 서귀포시 (5013000000)","169,603","73,468","          2.31","          1.03","176,998","78,579","          2.25","          1.03","179,785","81,235","          2.21","          1.03","180,105","82,459","          2.18","          1.02","180,754","84,643","          2.14","          1.02","182,749","86,833","          2.10","          1.02","183,885","88,059","          2.09","          1.01","182,596","87,927","          2.08","          1.01","180,950","88,181","          2.05","          1.01","178,627","88,040","          2.03","          1.01"
"제주특별자치도 서귀포시 대정읍(5013025000)","19,524","8,666","          2.25","          0.98","20,874","9,513","          2.19","          0.97","21,196","9,783","          2.17","          0.96","21,154","9,890","          2.14","          0.95","21,575","10,262","          2.10","          0.94","22,073","10,594","          2.08","          0.94","22,143","10,801","          2.05","          0.94","21,939","10,686","          2.05","          0.94","21,850","10,732","          2.04","          0.94","21,478","10,691","          2.01","          0.94"
"제주특별자치도 서귀포시 남원읍(5013025300)","19,053","8,159","          2.34","          1.06","19,055","8,280","          2.30","          1.05","18,931","8,348","          2.27","          1.05","18,800","8,406","          2.24","          1.07","18,660","8,554","          2.18","          1.07","18,588","8,718","          2.13","          1.07","18,425","8,762","          2.10","          1.07","18,256","8,785","          2.08","          1.07","18,055","8,848","          2.04","          1.07","17,774","8,840","          2.01","          1.07"
"제주특별자치도 서귀포시 성산읍(5013025900)","14,734","7,031","          2.10","          1.08","15,164","7,402","          2.05","          1.09","15,333","7,646","          2.01","          1.10","15,438","7,851","          1.97","          1.10","15,308","8,042","          1.90","          1.10","15,433","8,152","          1.89","          1.10","15,362","8,185","          1.88","          1.11","15,091","8,105","          1.86","          1.10","14,934","8,106","          1.84","          1.09","14,552","8,009","          1.82","          1.10"
"제주특별자치도 서귀포시 안덕면(5013031000)","10,369","4,740","          2.19","          1.08","11,316","5,592","          2.02","          1.07","11,813","5,988","          1.97","          1.07","11,961","6,130","          1.95","          1.07","11,924","6,150","          1.94","          1.06","12,174","6,326","          1.92","          1.08","12,349","6,405","          1.93","          1.09","12,430","6,399","          1.94","          1.07","12,306","6,440","          1.91","          1.06","12,231","6,506","          1.88","          1.06"
"제주특별자치도 서귀포시 표선면(5013032000)","11,598","5,218","          2.22","          1.05","12,135","5,664","          2.14","          1.05","12,267","5,829","          2.10","          1.06","12,176","5,969","          2.04","          1.07","12,220","6,079","          2.01","          1.05","12,321","6,158","          2.00","          1.04","12,457","6,238","          2.00","          1.04","12,522","6,263","          2.00","          1.04","12,676","6,311","          2.01","          1.04","12,698","6,344","          2.00","          1.05"
"제주특별자치도 서귀포시 송산동(5013051000)","4,554","2,015","          2.26","          1.08","4,380","1,977","          2.22","          1.11","4,324","2,004","          2.16","          1.12","4,188","1,956","          2.14","          1.12","4,083","1,945","          2.10","          1.12","3,939","1,917","          2.05","          1.13","3,868","1,879","          2.06","          1.09","3,828","1,861","          2.06","          1.08","3,764","1,852","          2.03","          1.07","3,701","1,828","          2.02","          1.08"
"제주특별자치도 서귀포시 정방동(5013052000)","2,551","1,417","          1.80","          1.07","2,359","1,329","          1.78","          1.08","2,235","1,257","          1.78","          1.04","2,184","1,224","          1.78","          1.01","2,105","1,232","          1.71","          1.02","2,103","1,283","          1.64","          1.02","2,113","1,308","          1.62","          0.98","2,132","1,325","          1.61","          1.00","2,087","1,303","          1.60","          1.00","2,007","1,249","          1.61","          0.96"
"제주특별자치도 서귀포시 중앙동(5013053000)","4,169","2,166","          1.92","          0.93","3,932","2,064","          1.91","          0.91","3,808","2,054","          1.85","          0.92","3,643","1,990","          1.83","          0.90","3,458","1,970","          1.76","          0.90","3,275","1,893","          1.73","          0.91","3,188","1,848","          1.73","          0.92","3,129","1,800","          1.74","          0.93","3,071","1,821","          1.69","          0.89","2,935","1,757","          1.67","          0.88"
"제주특별자치도 서귀포시 천지동(5013054000)","3,713","1,858","          2.00","          1.04","3,487","1,802","          1.94","          1.05","3,484","1,847","          1.89","          1.04","3,459","1,850","          1.87","          1.03","3,445","1,905","          1.81","          1.01","3,383","1,926","          1.76","          1.01","3,421","1,962","          1.74","          1.00","3,404","1,980","          1.72","          1.01","3,347","1,970","          1.70","          1.00","3,289","1,944","          1.69","          1.01"
