"행정구역","2016년_거주자 인구수","2016년_세대수","2016년_세대당 인구","2016년_남여 비율","2017년_거주자 인구수","2017년_세대수","2017년_세대당 인구","2017년_남여 비율","2018년_거주자 인구수","2018년_세대수","2018년_세대당 인구","2018년_남여 비율","2019년_거주자 인구수","2019년_세대수","2019년_세대당 인구","2019년_남여 비율","2020년_거주자 인구수","2020년_세대수","2020년_세대당 인구","2020년_남여 비율","2021년_거주자 인구수","2021년_세대수","2021년_세대당 인구","2021년_남여 비율","2022년_거주자 인구수","2022년_세대수","2022년_세대당 인구","2022년_남여 비율","2023년_거주자 인구수","2023년_세대수","2023년_세대당 인구","2023년_남여 비율","2024년_거주자 인구수","2024년_세대수","2024년_세대당 인구","2024년_남여 비율","2025년_거주자 인구수","2025년_세대수","2025년_세대당 인구","2025년_남여 비율"
"제주특별자치도 제주특별자치도 제주시 (5011000000)","466,780","189,092","          2.47","          1.01","474,732","195,176","          2.43","          1.01","481,832","201,218","          2.39","          1.01","485,255","206,016","          2.36","          1.01","488,423","212,892","          2.29","          1.00","490,059","217,615","          2.25","          1.00","490,735","220,573","          2.22","          1.00","488,982","222,397","          2.20","          1.00","485,574","223,745","          2.17","          1.00","482,482","224,677","          2.15","          0.99"
"제주특별자치도 제주시 한림읍(5011025000)","20,215","9,307","          2.17","          1.08","20,626","9,629","          2.14","          1.08","21,056","9,979","          2.11","          1.07","21,106","10,172","          2.07","          1.07","21,005","10,335","          2.03","          1.06","21,104","10,525","          2.01","          1.06","20,882","10,577","          1.97","          1.06","20,756","10,611","          1.96","          1.06","20,328","10,516","          1.93","          1.05","19,982","10,441","          1.91","          1.06"
"제주특별자치도 제주시 애월읍(5011025300)","31,947","13,484","          2.37","          1.06","33,805","14,485","          2.33","          1.07","35,198","15,357","          2.29","          1.07","35,977","15,951","          2.26","          1.07","36,649","16,637","          2.20","          1.06","37,317","17,117","          2.18","          1.05","37,525","17,363","          2.16","          1.05","37,650","17,611","          2.14","          1.05","37,933","18,024","          2.10","          1.05","38,136","18,172","          2.10","          1.05"
"제주특별자치도 제주시 구좌읍(5011025600)","14,891","7,062","          2.11","          1.03","15,334","7,326","          2.09","          1.06","15,490","7,516","          2.06","          1.05","15,410","7,572","          2.04","          1.06","15,368","7,745","          1.98","          1.06","15,273","7,852","          1.95","          1.06","15,279","7,919","          1.93","          1.04","15,229","7,961","          1.91","          1.05","15,062","8,008","          1.88","          1.05","14,787","7,967","          1.86","          1.05"
"제주특별자치도 제주시 조천읍(5011025900)","21,786","9,101","          2.39","          1.06","23,078","9,835","          2.35","          1.06","23,872","10,343","          2.31","          1.07","24,436","10,695","          2.28","          1.06","25,098","11,241","          2.23","          1.05","25,365","11,522","          2.20","          1.05","25,623","11,761","          2.18","          1.05","25,577","11,872","          2.15","          1.05","25,703","12,087","          2.13","          1.04","25,687","12,236","          2.10","          1.03"
"제주특별자치도 제주시 한경면(5011031000)","8,673","4,206","          2.06","          1.03","8,858","4,395","          2.02","          1.02","9,004","4,582","          1.97","          1.02","8,954","4,639","          1.93","          1.02","8,951","4,733","          1.89","          1.02","9,234","4,961","          1.86","          1.01","9,444","5,059","          1.87","          1.00","9,564","5,116","          1.87","          1.00","9,502","5,117","          1.86","          0.99","9,375","5,076","          1.85","          1.00"
"제주특별자치도 제주시 추자면(5011032000)","1,872","1,060","          1.77","          1.20","1,829","1,056","          1.73","          1.19","1,776","1,022","          1.74","          1.17","1,709","1,000","          1.71","          1.17","1,652","982","          1.68","          1.15","1,580","941","          1.68","          1.14","1,561","926","          1.69","          1.19","1,564","940","          1.66","          1.19","1,543","949","          1.63","          1.22","1,521","951","          1.60","          1.20"
"제주특별자치도 제주시 우도면(5011033000)","1,777","938","          1.89","          1.13","1,860","1,016","          1.83","          1.13","1,842","989","          1.86","          1.14","1,850","996","          1.86","          1.10","1,730","956","          1.81","          1.09","1,688","916","          1.84","          1.11","1,663","899","          1.85","          1.12","1,615","859","          1.88","          1.14","1,570","840","          1.87","          1.14","1,489","814","          1.83","          1.16"
"제주특별자치도 제주시 일도1동(5011051000)","3,160","1,691","          1.87","          1.08","2,975","1,606","          1.85","          1.08","2,749","1,498","          1.84","          1.10","2,602","1,453","          1.79","          1.09","2,463","1,402","          1.76","          1.11","2,356","1,369","          1.72","          1.11","2,260","1,341","          1.69","          1.11","2,152","1,304","          1.65","          1.10","2,074","1,242","          1.67","          1.08","2,020","1,234","          1.64","          1.10"
"제주특별자치도 제주시 일도2동(5011052000)","35,545","13,039","          2.73","          0.97","35,009","13,060","          2.68","          0.97","34,152","12,988","          2.63","          0.97","33,433","12,982","          2.58","          0.97","32,814","13,164","          2.49","          0.97","32,265","13,262","          2.43","          0.97","31,804","13,270","          2.40","          0.97","31,377","13,297","          2.36","          0.96","31,001","13,430","          2.31","          0.96","30,756","13,529","          2.27","          0.96"
"제주특별자치도 제주시 이도1동(5011053000)","7,765","3,411","          2.28","          0.99","7,778","3,515","          2.21","          1.00","7,710","3,560","          2.17","          0.98","7,505","3,524","          2.13","          0.97","7,532","3,677","          2.05","          0.99","7,426","3,735","          1.99","          0.98","7,553","3,816","          1.98","          0.97","7,612","3,915","          1.94","          0.98","7,605","4,011","          1.90","          0.97","7,486","4,024","          1.86","          0.97"
"제주특별자치도 제주시 이도2동(5011054000)","50,904","19,240","          2.65","          0.96","50,187","19,276","          2.60","          0.96","49,169","19,299","          2.55","          0.96","49,658","19,995","          2.48","          0.97","49,539","20,528","          2.41","          0.96","49,248","20,950","          2.35","          0.96","49,055","21,210","          2.31","          0.95","48,363","21,191","          2.28","          0.95","46,836","20,730","          2.26","          0.94","45,863","20,436","          2.24","          0.94"
"제주특별자치도 제주시 삼도1동(5011055000)","14,659","5,906","          2.48","          0.96","14,356","5,901","          2.43","          0.96","14,015","5,808","          2.41","          0.96","13,672","5,781","          2.36","          0.96","13,420","5,892","          2.28","          0.96","13,324","5,950","          2.24","          0.97","13,109","5,965","          2.20","          0.97","12,824","5,982","          2.14","          0.96","12,647","5,970","          2.12","          0.95","12,388","5,925","          2.09","          0.95"
"제주특별자치도 제주시 삼도2동(5011056000)","8,777","4,182","          2.10","          1.09","8,556","4,130","          2.07","          1.07","8,236","4,008","          2.05","          1.09","8,021","3,939","          2.04","          1.09","7,857","3,963","          1.98","          1.08","7,818","4,005","          1.95","          1.08","7,781","4,032","          1.93","          1.07","7,768","4,100","          1.89","          1.08","7,637","4,061","          1.88","          1.08","7,531","4,004","          1.88","          1.07"
"제주특별자치도 제주시 용담1동(5011057000)","7,883","3,600","          2.19","          1.04","7,738","3,589","          2.16","          1.07","7,422","3,448","          2.15","          1.06","7,127","3,355","          2.12","          1.06","6,941","3,359","          2.07","          1.05","6,763","3,353","          2.02","          1.06","6,754","3,377","          2.00","          1.07","6,529","3,350","          1.95","          1.09","6,368","3,296","          1.93","          1.09","6,209","3,261","          1.90","          1.10"
"제주특별자치도 제주시 용담2동(5011058000)","16,040","6,397","          2.51","          1.03","15,656","6,359","          2.46","          1.03","15,253","6,310","          2.42","          1.03","14,907","6,295","          2.37","          1.02","14,642","6,352","          2.31","          1.02","14,330","6,383","          2.25","          1.03","14,059","6,344","          2.22","          1.03","13,717","6,311","          2.17","          1.02","13,681","6,396","          2.14","          1.02","13,452","6,363","          2.11","          1.02"
"제주특별자치도 제주시 건입동(5011059000)","9,827","4,211","          2.33","          1.07","9,696","4,193","          2.31","          1.07","9,442","4,087","          2.31","          1.07","9,143","4,015","          2.28","          1.06","8,926","4,008","          2.23","          1.05","8,753","4,017","          2.18","          1.04","8,799","4,109","          2.14","          1.03","8,710","4,112","          2.12","          1.04","8,504","4,097","          2.08","          1.02","8,319","4,080","          2.04","          1.02"
"제주특별자치도 제주시 화북동(5011060000)","25,601","9,372","          2.73","          1.00","25,331","9,422","          2.69","          0.99","24,870","9,457","          2.63","          0.99","24,737","9,501","          2.60","          1.00","24,346","9,628","          2.53","          0.99","23,917","9,596","          2.49","          0.99","23,675","9,619","          2.46","          0.99","23,242","9,617","          2.42","          0.98","22,983","9,669","          2.38","          0.99","22,902","9,806","          2.34","          0.98"
"제주특별자치도 제주시 삼양동(5011061000)","21,486","7,936","          2.71","          1.02","22,630","8,381","          2.70","          1.02","24,780","9,185","          2.70","          1.01","25,572","9,537","          2.68","          1.01","25,722","9,694","          2.65","          1.01","25,799","9,835","          2.62","          1.01","26,268","10,068","          2.61","          1.01","26,228","10,180","          2.58","          1.00","26,148","10,264","          2.55","          1.00","26,584","10,565","          2.52","          1.00"
"제주특별자치도 제주시 봉개동(5011062000)","3,443","1,405","          2.45","          1.15","3,843","1,621","          2.37","          1.15","4,805","2,064","          2.33","          1.10","5,235","2,289","          2.29","          1.08","5,252","2,319","          2.26","          1.08","5,247","2,373","          2.21","          1.07","5,260","2,408","          2.18","          1.08","5,241","2,421","          2.16","          1.07","5,136","2,395","          2.14","          1.09","5,110","2,407","          2.12","          1.07"
"제주특별자치도 제주시 아라동(5011063000)","27,163","10,633","          2.55","          0.99","29,971","11,853","          2.53","          0.99","32,943","13,220","          2.49","          0.99","34,647","13,946","          2.48","          0.99","36,918","15,298","          2.41","          0.99","38,504","16,193","          2.38","          0.97","39,011","16,522","          2.36","          0.97","39,845","17,105","          2.33","          0.96","40,545","17,620","          2.30","          0.97","40,687","17,841","          2.28","          0.97"
"제주특별자치도 제주시 오라동(5011064000)","11,732","4,454","          2.63","          1.02","13,419","5,063","          2.65","          1.02","14,582","5,505","          2.65","          1.03","15,245","5,764","          2.64","          1.02","15,655","6,059","          2.58","          1.02","15,825","6,211","          2.55","          1.02","15,923","6,306","          2.53","          1.02","15,941","6,355","          2.51","          1.02","15,984","6,438","          2.48","          1.02","16,035","6,531","          2.46","          1.02"
"제주특별자치도 제주시 연동(5011065000)","41,985","18,665","          2.25","          0.97","41,363","18,630","          2.22","          0.98","40,906","18,948","          2.16","          0.97","41,022","19,558","          2.10","          0.97","41,453","20,519","          2.02","          0.96","41,844","21,240","          1.97","          0.96","42,018","21,720","          1.93","          0.96","42,283","21,951","          1.93","          0.97","42,271","22,069","          1.92","          0.97","42,392","22,366","          1.90","          0.97"
"제주특별자치도 제주시 노형동(5011066000)","53,264","19,844","          2.68","          0.97","53,156","20,194","          2.63","          0.97","53,708","20,781","          2.58","          0.97","53,926","21,426","          2.52","          0.96","54,796","22,414","          2.44","          0.96","55,168","23,122","          2.39","          0.96","55,469","23,689","          2.34","          0.96","55,081","23,805","          2.31","          0.95","54,650","23,999","          2.28","          0.95","54,122","24,118","          2.24","          0.95"
"제주특별자치도 제주시 외도동(5011067000)","19,577","7,221","          2.71","          1.01","20,599","7,719","          2.67","          1.01","21,341","8,094","          2.64","          1.02","21,686","8,336","          2.60","          1.02","21,932","8,587","          2.55","          1.00","22,179","8,728","          2.54","          1.00","22,321","8,825","          2.53","          1.00","22,505","8,927","          2.52","          1.01","22,305","9,002","          2.48","          1.00","22,267","9,049","          2.46","          1.00"
"제주특별자치도 제주시 이호동(5011068000)","3,926","1,511","          2.60","          1.06","4,112","1,626","          2.53","          1.06","4,454","1,794","          2.48","          1.07","4,534","1,876","          2.42","          1.08","4,540","1,914","          2.37","          1.09","4,434","1,917","          2.31","          1.10","4,392","1,916","          2.29","          1.10","4,380","1,945","          2.25","          1.08","4,320","1,938","          2.23","          1.08","4,187","1,924","          2.18","          1.06"
"제주특별자치도 제주시 도두동(5011069000)","2,882","1,216","          2.37","          1.13","2,967","1,296","          2.29","          1.14","3,057","1,376","          2.22","          1.13","3,141","1,419","          2.21","          1.10","3,222","1,486","          2.17","          1.11","3,298","1,542","          2.14","          1.12","3,247","1,532","          2.12","          1.09","3,229","1,559","          2.07","          1.11","3,238","1,577","          2.05","          1.11","3,195","1,557","          2.05","          1.13"
